Author;Study;RR;Medium;Pages;Items;Time (min.);Follow-ups;Promtrate;Complexity;Incentive Amount;Incentive Type;Lottery Amount;Time of payment;Vocation;Priorconcent
Akl E. A.;\cite{akl2005electronic};63.3;Website;-;28;-;2;10;Likert scale;None;None;;n/a;Resident;Consent
Akl E. A.;\cite{akl2005electronic};79.7;Printed;-;28;-;2;10;Likert scale;None;None;;n/a;Resident;Consent
Akl E. A.;\cite{akl2005electronic};85.4;Website;-;23;-;2;10;Likert scale;None;None;;n/a;Resident;Consent
Akl E. A.;\cite{akl2005electronic};81.0;Printed;-;23;-;2;10;Likert scale;None;None;;n/a;Resident;Consent
Asch D.A.;\cite{asch1994envelope};34.1;Printed;-;-;-;0;n/a;-;None;None;;n/a;Physician;-
Asch D.A.;\cite{asch1994envelope};41;Printed;-;-;-;0;n/a;-;None;None;;n/a;Physician;-
Asch D. A.;\cite{asch1996use};76.5;Printed;8;-;10;2;30;-;1;Monetary;;Before;Nurse;-
Asch D. A.;\cite{asch1996use};69;Printed;8;-;10;2;30;-;1;Monetary;;Before;Nurse;-
Asch D. A.;\cite{asch1998conducting};45.9;Printed;4;-;-;3;21;-;2;Monetary;;Before;Physician;None
Asch D. A.;\cite{asch1998conducting};61.2;Printed;4;-;-;3;21;-;5;Monetary;;Before;Physician;None
Becker H.;\cite{becker2000mailed};34.3;Printed;4;-;-;0;n/a;-;None;None;;n/a;Nurse;Notified
Becker H.;\cite{becker2000mailed};36.4;Printed;4;-;-;0;n/a;-;None;None;;n/a;Nurse;Notified
Becker H.;\cite{becker2000mailed};38.7;Printed;4;-;-;1;42;-;None;None;;n/a;Nurse;Notified
Becker H.;\cite{becker2000mailed};38.9;Printed;4;-;-;1;42;-;None;None;;n/a;Nurse;Notified
Becker H.;\cite{becker2000mailed};42.7;Printed;4;-;-;2;42;-;None;None;;n/a;Nurse;Notified
Becker H.;\cite{becker2000mailed};45.8;Printed;4;-;-;2;42;-;None;None;;n/a;Nurse;Notified
Beebe T.J.;\cite{beebe2007mixing};62.9;Website;-;20;-;2;14;Likert scale;None;None;;n/a;Physician;Notified
Beebe T.J.;\cite{beebe2007mixing};70.5;Printed;-;20;-;2;14;Likert scale;None;None;;n/a;Physician;Notified
Berk M. L.;\cite{berk1985interviewing};74;-;-;-;-;-;-;-;None;None;;n/a;Physician;-
Berry S. H.;\cite{berry1987physician};77.4;Printed;32;-;25;3;28;-;20;Monetary;;Before;Physician;-
Berry S. H.;\cite{berry1987physician};65.9;Printed;32;-;25;3;28;-;20;Monetary;;After;Physician;-
Bhandari M.;\cite{bhandari2003randomized};59.7;Printed;5;-;-;0;n/a;-;None;None;;n/a;Surgeon;-
Bhandari M.;\cite{bhandari2003randomized};46.7;Printed;5;-;-;0;n/a;-;None;None;;n/a;Surgeon;-
Bostick R. M.;\cite{bostick1992using};65.6;Phone;-;-;20;0;n/a;-;None;None;;n/a;Physician;Notified
Bostick R. M.;\cite{bostick1992using};92;Phone;-;-;20;1;-;-;None;None;;n/a;Physician;Notified
Cartwright A.;\cite{cartwright1968variations};96;Printed;1;6;-;3;10;-;None;None;;n/a;Physician;-
Cartwright A.;\cite{cartwright1968variations};83;Printed;1;6;-;3;10;-;None;None;;n/a;Physician;-
Cartwright A.;\cite{cartwright1968variations};78;Printed;3;40;-;3;10;-;None;None;;n/a;Physician;-
Cartwright A.;\cite{cartwright1968variations};67;Printed;3;40;-;3;10;-;None;None;;n/a;Physician;-
del Valle M.;\cite{del1997randomized};65.9;Printed;6;-;-;2;-;-;45;Monetary;;Before/After;Physician;-
del Valle M.;\cite{del1997randomized};41.3;Printed;6;-;-;3;-;-;None;None;;n/a;Physician;-
del Valle M.;\cite{del1997randomized};24.8;Printed;6;-;-;3;-;-;None;None;;n/a;Physician;-
Donaldson G. W.;\cite{donaldson1999physician};48;Printed;-;-;5;1;28;-;None;None;;n/a;Physician;-
Donaldson G. W.;\cite{donaldson1999physician};55;Printed;-;-;5;1;28;-;5;Monetary;;Before;Physician;-
Donaldson G. W.;\cite{donaldson1999physician};43;Mixed;-;-;5;2;28;-;None;None;;n/a;Physician;-
Donaldson G. W.;\cite{donaldson1999physician};60;Mixed;-;-;5;2;28;-;5;Monetary;;Before;Physician;-
Dykema J.;\cite{dykema2011effects};3;Website;-;80;-;3;-;-;None;None;;n/a;Physician;None
Dykema J.;\cite{dykema2011effects};6.2;Website;-;80;-;3;-;-;2;Monetary;;Before;Physician;Notified
Dykema J.;\cite{dykema2011effects};6.2;Website;-;80;-;3;-;-;None;None;;n/a;Physician;Notified
Dykema J.;\cite{dykema2011effects};6.6;Website;-;80;-;3;-;-;Lottery;Lottery;200;n/a;Physician;Notified
Dykema J.;\cite{dykema2011effects};8.6;Website;-;80;-;3;-;-;2/Lottery;Monetary/Lottery;200;Before;Physician;Notified
Dykema J.;\cite{dykema2011effects};13.4;Website;-;80;-;3;-;-;50;Monetary;;After;Physician;Notified
Dykema J.;\cite{dykema2011effects};15.4;Website;-;80;-;3;-;-;2/50;Monetary;;Before/After;Physician;Notified
Dykema J.;\cite{dykema2011effects};25.4;Website;-;80;-;3;-;-;2/100;Monetary;;Before/After;Physician;Notified
Everett S. A.;\cite{everett1997effect};62.8;Printed;3;27;-;2;14;-;1;Monetary;;-;Care Physician;-
Everett S. A.;\cite{everett1997effect};45.4;Printed;3;27;-;2;14;-;None;None;;n/a;Physician;-
Gattellari M.;\cite{gattellari2001will};84.3;Printed;13;-;-;4;30;-;NM;NM;;After;Surgeon;-
Gattellari M.;\cite{gattellari2001will};93.7;Printed;13;-;-;0;n/a;-;None;None;;n/a;Surgeon;-
Gore-Felton C.;\cite{gore2002example};68;Printed;-;-;-;2;21;-;None;None;;n/a;Psychologist;-
Grava-Gubins I.;\cite{grava2008effects};31.6;Mixed;12;-;-;3;-;-;Lottery;Lottery;-;After;Mixed;-
Grava-Gubins I.;\cite{grava2008effects};30.8;Website;-;-;-;3;-;-;Lottery;Lottery;-;After;MedicalStudent;-
Grava-Gubins I.;\cite{grava2008effects};27.9;Website;-;-;-;3;-;-;Lottery;Lottery;;After;Resident;-
Guise V.;\cite{guise2010mixed};32.4;Website;-;40;-;3;7;Likert scale;None;None;;n/a;Nurse;Notified
Guise V.;\cite{guise2010mixed};54.7;Mixed;-;40;-;3;7;Likert scale;None;None;;n/a;Nurse;Notified
Halpern S. D.;\cite{halpern2011lottery};30.5;Website;-;-;5;2;5;-;Lottery;Lottery;5000;n/a;Physician;None
Halpern S. D.;\cite{halpern2011lottery};31.2;Website;-;-;5;2;5;-;Lottery;Lottery;250;n/a;Physician;None
Halpern S. D.;\cite{halpern2011lottery};32.4;Website;-;-;5;2;5;-;None;None;;n/a;Physician;None
Halpern S. D.;\cite{halpern2011lottery};39.4;Printed;-;-;5;1;-;-;Lottery;Lottery;200;n/a;Nurse;None
Halpern S. D.;\cite{halpern2011lottery};58.8;Printed;-;-;5;1;-;-;5;Monetary;;Before;Nurse;None
Halpern S. D.;\cite{halpern2011lottery};51.1;Website;-;-;5;2;5;-;Lottery;Lottery;2500;n/a;Physician;None
Halpern S. D.;\cite{halpern2011lottery};55.8;Website;-;-;5;2;5;-;10;Monetary;;Before;Physician;None
Hart A. M.;\cite{hart2009impact};49.2;Website;-;-;5;1;7;-;None;None;;n/a;Nurse programdirector;Consent
Hart A. M.;\cite{hart2009impact};44.7;Website;-;-;5;1;7;-;None;None;;n/a;Nurse programdirector;None
Hawley K. M.;\cite{hawley2009noncontingent};39.8;Printed;7;-;-;2;-;-;None;None;;n/a;Mental healthprovider;-
Hawley K. M.;\cite{hawley2009noncontingent};41.8;Printed;7;-;-;2;-;-;NM;NM;;Before;Mental healthprovider;-
Hawley K. M.;\cite{hawley2009noncontingent};51;Printed;7;-;-;2;-;-;1;Monetary;;Before;Mental healthprovider;-
Hawley K. M.;\cite{hawley2009noncontingent};60.6;Printed;7;-;-;2;-;-;2;Monetary;;Before;Mental healthprovider;-
Hawley K. M.;\cite{hawley2009noncontingent};64.6;Printed;7;-;-;2;-;-;5;Monetary;;Before;Mental healthprovider;-
Heywood A.;\cite{heywood1995reducing};43.8;Printed;-;-;-;2;-;-;None;None;;n/a;Physician;None
Heywood A.;\cite{heywood1995reducing};66.9;Printed;-;-;-;3;-;-;None;None;;n/a;Physician;None
Heywood A.;\cite{heywood1995reducing};81.2;Printed;-;-;-;2;-;-;None;None;;n/a;Physician;None
James K. M.;\cite{james2011getting};34.2;Printed;8;33;-;2;42;-;25;Monetary;;Before;Physician;-
James K. M.;\cite{james2011getting};19.6;Printed;8;33;-;2;42;-;25;Monetary;;Before;Physician;-
James K. M.;\cite{james2011getting};9.8;Printed;8;33;-;2;42;-;25;Monetary;;After;Physician;-
James K. M.;\cite{james2011getting};7.5;Printed;8;33;-;2;42;-;25;Monetary;;After;Physician;-
Kanaan R. A. A.;\cite{kanaan2010differential};70.6;Printed;-;33;-;1;30;-;10;Monetary;;Before;Physician;-
Kanaan R. A. A.;\cite{kanaan2010differential};35.7;Printed;-;33;-;1;30;-;10;Monetary;;After;Physician;-
Kanaan R. A. A.;\cite{kanaan2010differential};52.6;Printed;-;33;-;1;30;-;None;None;;n/a;Physician;-
Keating N. L.;\cite{keating2008randomized};52.1;Mixed;13;-;12;3;21;-;50;Monetary;;-;Physician;-
Keating N. L.;\cite{keating2008randomized};67.7;Mixed;13;-;12;3;21;-;20;Monetary;;-;Physician;-
Lusk C.;\cite{lusk2007mail};65.5;Printed;-;-;25;3;21;-;3;Monetary;;-;Healthprofessional;Notified
Lusk C.;\cite{lusk2007mail};9.3;Website;-;-;15;3;21;-;3;Monetary;;-;Healthprofessional;Notified
Malin J. L.;\cite{malin2000tracking};16.6;Printed;10;118;15;0;n/a;-;None;None;;n/a;Medicaldirector;None
Malin J. L.;\cite{malin2000tracking};27.2;Mixed;10;118;15;1;60;-;None;None;;n/a;Medicaldirector;Non-respondent
Malin J. L.;\cite{malin2000tracking};75.2;Mixed;10;118;15;2;-;-;50;Monetary;;-;Medicaldirector;Non-respondent
Martins Y.;\cite{martins2012increasing};44.2;Mixed;-;-;-;1;21;-;100;Monetary;;After;Physician;None
Martins Y.;\cite{martins2012increasing};68.9;Mixed;-;-;-;2;21;-;100;Monetary;;After;Physician;None
Matteson K. A.;\cite{matteson2011surveying};32.7;Website;-;-;-;3;7;-;None;None;;n/a;Physician;Notified
Matteson K. A.;\cite{matteson2011surveying};52;Mixed;-;-;-;3;7;-;None;None;;n/a;Physician;Notified
McLaren B.;\cite{mclaren2000response};63;Printed;-;-;-;2;28;-;NM;NM;;After;Physician;Notified
McLaren B.;\cite{mclaren2000response};63.8;Printed;-;-;-;2;28;-;NM;NM;;After;Physician;Notified
McLaren B.;\cite{mclaren2000response};61.1;Printed;-;-;-;2;28;-;None;None;;n/a;Physician;Notified
McLaren B.;\cite{mclaren2000response};58.7;Printed;-;-;-;2;28;-;None;None;;n/a;Physician;Notified
Myerson S.;\cite{myerson1993improving};58.8;Printed;4;-;-;0;n/a;Binary Choice;None;None;;n/a;Physician;None
Myerson S.;\cite{myerson1993improving};74.1;Printed;4;-;-;1;45;Binary Choice;None;None;;n/a;Physician;Non-respondent
Myerson S.;\cite{myerson1993improving};84.7;Printed;4;-;-;2;45;Binary Choice;None;None;;n/a;Physician;Non-respondent
Nicholls K.;\cite{nicholls2011enhancing};25.6;Mixed;-;-;-;3;7;-;NM;NM;;-;Physician;Notified
Paul C. L.;\cite{paul2005monetary};65.9;Printed;6;28;10;2;28;-;14;Monetary;;After;Pharmacist;Notified
Paul C. L.;\cite{paul2005monetary};53.5;Printed;6;28;10;2;28;-;None;None;;n/a;Pharmacist;Notified
Puleo E.;\cite{puleo2002caffeine};37.6;Printed;3;-;-;0;n/a;-;4;Monetary;;Before;Physician;None
Puleo E.;\cite{puleo2002caffeine};60.4;Printed;3;-;-;1;14;-;4;Monetary;;Before;Physician;Non-respondent
Puleo E.;\cite{puleo2002caffeine};66.9;Printed;3;-;-;2;14;-;4;Monetary;;Before;Physician;Non-respondent
Puleo E.;\cite{puleo2002caffeine};81.6;Mixed;3;-;-;3;14;-;4;Monetary;;Before;Physician;Non-respondent
Recklitis C. J.;\cite{recklitis2009money};81.6;Mixed;-;-;-;1;14;-;20;Monetary;;Before;Physician;-
Recklitis C. J.;\cite{recklitis2009money};63;Mixed;-;-;-;1;14;-;NM;NM;;Before;Physician;-
Recklitis C. J.;\cite{recklitis2009money};76.3;Mixed;-;-;-;1;14;-;20/NM;Monetary/NM;;Before;Physician;-
Thorpe C.;\cite{thorpe2009obtain};48.1;Printed;-;-;-;3;21;Closed-response;None;None;;n/a;Physician;-
Thorpe C.;\cite{thorpe2009obtain};76.2;Printed;-;-;-;3;-;Closed-response;25;Monetary;;Before;Physician;Non-respondents
Thorpe C.;\cite{thorpe2009obtain};73.5;Printed;-;-;-;3;-;Open-response/Closed-response;25;Monetary;;Before;Physician;-
Thorpe C.;\cite{thorpe2009obtain};73.5;Printed;-;-;-;3;-;Open-response/Closed-response;25;Monetary;;Before;Physician;-
Ulrich C. M.;\cite{ulrich2005does};48.1;Printed;-;-;-;3;-;-;None;None;;n/a;Nurse;None
Ulrich C. M.;\cite{ulrich2005does};36.3;Printed;-;-;-;3;-;-;None;None;;n/a;Physician aid;None
Ulrich C. M.;\cite{ulrich2005does};48.7;Printed;-;-;-;3;-;-;Lottery;Lottery;100;n/a;Nurse;None
Ulrich C. M.;\cite{ulrich2005does};40.7;Printed;-;-;-;3;-;-;Lottery;Lottery;100;n/a;Physician aid;None
Ulrich C. M.;\cite{ulrich2005does};69.6;Printed;-;-;-;3;-;-;5;Monetary;;Before;Nurse;None
Ulrich C. M.;\cite{ulrich2005does};58.7;Printed;-;-;-;3;-;-;5;Monetary;;Before;Physician aid;None
VanGeest J. B.;\cite{vangeest2001effects};60.3;Printed;4;21;-;3;-;Closed-response;5;Monetary;;Before;Physician;-
VanGeest J. B.;\cite{vangeest2001effects};68;Printed;-;-;-;3;-;Closed-response;10;Monetary;;Before;Physician;-
VanGeest J. B.;\cite{vangeest2001effects};65.2;Printed;-;-;-;3;-;Closed-response;20;Monetary;;Before;Physician;-
Viera A. J.;\cite{viera2012does};12;Mixed;-;40;10;2;14;-;Lottery/NM;Lottery/NM;500;After;Physician;-
Viera A. J.;\cite{viera2012does};16.6;Mixed;-;40;10;2;14;-;Lottery;Lottery;500;After;Physician;-
VonRiesen R. D.;\cite{vonriesen1979postcard};41.9;Printed;2;-;-;1;8;-;None;None;;n/a;Veterinarian;-
VonRiesen R. D.;\cite{vonriesen1979postcard};50;Printed;2;-;-;1;8;-;None;None;;n/a;Veterinarian;-
VonRiesen R. D.;\cite{vonriesen1979postcard};39.5;Printed;-;-;-;0;n/a;-;None;None;;n/a;Veterinarian;-
Wilson P. M.;\cite{wilson2010effects};50;Website;-;36;25;3;7;Open-response/Closed-response;10;Monetary;;After;Researcher;-
Wilson P. M.;\cite{wilson2010effects};45.6;Website;-;36;25;3;7;Open-response/Closed-response;None;None;;n/a;Researcher;-
Ziegenfuss J. Y.;\cite{ziegenfuss2012getting};14.2;Printed;8;-;-;1;42;Likert scale;NM/25;NM/Monetary;;Before/After;Physician;-
Ziegenfuss J. Y.;\cite{ziegenfuss2012getting};15.9;Printed;8;-;-;1;42;Likert scale;NM/25;NM/Monetary;;Before/After;Physician;-
Hardigan P. C. et al.;\cite{HARDIGAN2016141};22.6;Printed;4;60;-;2;14;-;None;None;;n/a;Pharmacist;-
Hardigan P. C. et al.;\cite{HARDIGAN2016141};19.3;Printed;2;36;-;2;14;-;None;None;;n/a;Pharmacist;-
Hardigan P. C. et al.;\cite{HARDIGAN2016141};6.4;Website;4;60;-;2;14;-;None;None;;n/a;Pharmacist;-
Hardigan P. C. et al.;\cite{HARDIGAN2016141};7.2;Website;2;36;-;2;14;-;None;None;;n/a;Pharmacist;-
Hardigan P. C. et al.;\cite{HARDIGAN2016141};3.6;Mixed;4;60;-;2;14;-;None;None;;n/a;Pharmacist;-
Hardigan P. C. et al.;\cite{HARDIGAN2016141};2.8;Mixed;2;36;-;2;14;-;None;None;;n/a;Pharmacist;-
Sheenan K. B.;\cite{PALMEN201646};88;Printed;-;23;-;1;14;5Q-5D Numeric scale;-;-;;n/a;Surgery Patient;Consent
Sheenan K. B.;\cite{PALMEN201646};33.3;Website;-;23;-;1;14;5Q-5D Numeric scale;-;-;;n/a;Surgery Patient;Consent
Sheenan K. B.;\cite{PALMEN201646};79;Phone;-;23;-;3;-;5Q-5D Numeric scale;-;-;;n/a;Surgery Patient;Consent
Horn M. E. et al.;\cite{horn2021electronic};28;App;-;-;-;3;89;-;-;-;;n/a;Patient;-
Peters M. et al.;\cite{peters2014routine};30;Printed;-;5;5;2;14;5Q-5D Numeric scale;-;-;;n/a;Patient;Notified
Peters M. et al.;\cite{peters2014routine};49.2;Printed;-;5;5;2;14;5Q-5D Numeric scale;-;-;;n/a;Patient;Notified
Peters M. et al.;\cite{peters2014routine};40;Printed;-;5;5;2;14;5Q-5D Numeric scale;-;-;;n/a;Patient;Notified
Peters M. et al.;\cite{peters2014routine};34;Printed;-;5;5;2;14;5Q-5D Numeric scale;-;-;;n/a;Patient;Notified
Peters M. et al.;\cite{peters2014routine};50;Printed;-;5;5;2;14;5Q-5D Numeric scale;-;-;;n/a;Patient;Notified
Peters M. et al.;\cite{peters2014routine};36.4;Printed;-;5;5;2;14;5Q-5D Numeric scale;-;-;;n/a;Patient;Notified
Peters M. et al.;\cite{peters2014routine};38.4;Printed;-;5;5;2;14;5Q-5D Numeric scale;-;-;;n/a;Patient;Notified
Colls J. et al.;\cite{colls2021patient};87.9;App;-;-;-;3;0.5;-;-;-;;n/a;Patient;Consent
Jamilloux Y. et al.;\cite{jamilloux2015adherence};89;Website;-;28;-;3;30;-;None;None;;n/a;Patient;Consent